--- 0x89702330..0x89702E24  159 noms ---
  0x89703F4C  dayAllow
  0x89703F58  dailyAllowance
  0x89703F68  daily
  0x89703F70  customData
  0x89703F7C  customAction
  0x89703F8C  currencyName
  0x89703F9C  currency
  0x89703FA8  currencies
  0x89703FB4  contributorInfo
  0x89703FC4  contributions
  0x89703FD4  contents
  0x89703FE0  completedActivity
  0x89703FF4  columns
  0x89703FFC  club
  0x89704004  chals
  0x8970400C  changesAllowed
  0x8970401C  challengeId
  0x89704028  challengeCompleted
  0x8970403C  catalogueType
  0x8970404C  CatalogueType
  0x8970405C  catalogType
  0x89704068  catalogs
  0x89704074  catalogId
  0x89704080  businessunit
  0x89704090  baseExp
  0x89704098  available
  0x897040A4  areas
  0x897040AC  areaSubType
  0x897040B8  attrib8
  0x897040C0  attrib7
  0x897040C8  attrib6
  0x897040D0  attrib5
  0x897040D8  attrib4
  0x897040E0  attrib3
  0x897040E8  attrib2
  0x897040F0  attrib1
  0x897040F8  AssetUrl
  0x89704104  AssetId
  0x8970410C  activeUntil
  0x89704118  activeType
  0x89704124  activeFrom
  0x89704130  accountBalance
  0x89704140  aaaalpha
  0x8970414C  LIST_START
--- 0x897046D0..0x89704918  41 noms ---
  0x897046D0  SPRAINED_ANKLE
  0x897046E0  BRUISED_ELBOW
  0x897046F0  BROKEN_ELBOW
  0x89704700  DISLOCATED_SHOULDER
  0x89704714  HYPER_EXTENDED_KNEE
  0x89704728  SPRAINED_KNEE
  0x89704738  MCL
  0x8970473C  LCL
  0x89704740  ACL
  0x89704744  BRUISED_SHOULDER
  0x89704758  BROKEN_COLLARBONE
  0x8970476C  BROKEN_TAILBONE
  0x8970477C  BRUISED_TAILBONE
  0x89704790  BRUISED_RIB
  0x8970479C  BROKEN_RIB
  0x897047A8  FEMUR_CONTUSION
  0x897047B8  BRUISED_TIBIA_FIBULA
  0x897047D0  BROKEN_TIBIA_FIBULA
  0x897047E4  BROKEN_ANKLE
  0x897047F4  BROKEN_METATARSAL
  0x89704808  BROKEN_TOE
  0x89704814  DEAD_LEG_QUAD
  0x89704824  HEAD_CUTS
